Tensao [V];Corrente [A]
-10;-1,871301E-09
-9,95;-1,850967E-09
-9,9;-1,833924E-09
-9,85;-1,818817E-09
-9,8;-1,80374E-09
-9,75;-1,788894E-09
-9,7;-1,774252E-09
-9,65;-1,761808E-09
-9,6;-1,746505E-09
-9,55;-1,735973E-09
-9,5;-1,725371E-09
-9,45;-1,715481E-09
-9,4;-1,706805E-09
-9,35;-1,697671E-09
-9,3;-1,685507E-09
-9,25;-1,674201E-09
-9,2;-1,662454E-09
-9,15;-1,650309E-09
-9,1;-1,639454E-09
-9,05;-1,62985E-09
-9;-1,619731E-09
-8,95;-1,606055E-09
-8,9;-1,594418E-09
-8,85;-1,582587E-09
-8,8;-1,574048E-09
-8,75;-1,562381E-09
-8,7;-1,551564E-09
-8,65;-1,541469E-09
-8,6;-1,530438E-09
-8,55;-1,519884E-09
-8,5;-1,507381E-09
-8,45;-1,499081E-09
-8,4;-1,488328E-09
-8,35;-1,475434E-09
-8,3;-1,462568E-09
-8,25;-1,457982E-09
-8,2;-1,451585E-09
-8,15;-1,441569E-09
-8,1;-1,429969E-09
-8,05;-1,419964E-09
-8;-1,407967E-09
-7,95;-1,396517E-09
-7,9;-1,386462E-09
-7,85;-1,377979E-09
-7,8;-1,368097E-09
-7,75;-1,355296E-09
-7,7;-1,343589E-09
-7,65;-1,335209E-09
-7,6;-1,325613E-09
-7,55;-1,314026E-09
-7,5;-1,303358E-09
-7,45;-1,292779E-09
-7,4;-1,283188E-09
-7,35;-1,275719E-09
-7,3;-1,260911E-09
-7,25;-1,25071E-09
-7,2;-1,240128E-09
-7,15;-1,229318E-09
-7,1;-1,219972E-09
-7,05;-1,210733E-09
-7;-1,201172E-09
-6,95;-1,189798E-09
-6,9;-1,178078E-09
-6,85;-1,165884E-09
-6,8;-1,156482E-09
-6,75;-1,144548E-09
-6,7;-1,136459E-09
-6,65;-1,128502E-09
-6,6;-1,119226E-09
-6,55;-1,108825E-09
-6,5;-1,09745E-09
-6,45;-1,088706E-09
-6,4;-1,079539E-09
-6,35;-1,067714E-09
-6,3;-1,055987E-09
-6,25;-1,045873E-09
-6,2;-1,033836E-09
-6,15;-1,02316E-09
-6,1;-1,013853E-09
-6,05;-1,002367E-09
-6;-9,893916E-10
-5,95;-9,825292E-10
-5,9;-9,739823E-10
-5,85;-9,628626E-10
-5,8;-9,511213E-10
-5,75;-9,406373E-10
-5,7;-9,328234E-10
