Tensao [V];Corrente [A]
-10;-1,869547E-09
-9,95;-1,847379E-09
-9,9;-1,828559E-09
-9,85;-1,811602E-09
-9,8;-1,796047E-09
-9,75;-1,784077E-09
-9,7;-1,772761E-09
-9,65;-1,762754E-09
-9,6;-1,748705E-09
-9,55;-1,73447E-09
-9,5;-1,723938E-09
-9,45;-1,713808E-09
-9,4;-1,701367E-09
-9,35;-1,690433E-09
-9,3;-1,679426E-09
-9,25;-1,667366E-09
-9,2;-1,65432E-09
-9,15;-1,643329E-09
-9,1;-1,635165E-09
-9,05;-1,626114E-09
-9;-1,615423E-09
-8,95;-1,602515E-09
-8,9;-1,59102E-09
-8,85;-1,581218E-09
-8,8;-1,569586E-09
-8,75;-1,560079E-09
-8,7;-1,54983E-09
-8,65;-1,539397E-09
-8,6;-1,526951E-09
-8,55;-1,514566E-09
-8,5;-1,506052E-09
-8,45;-1,498262E-09
-8,4;-1,488154E-09
-8,35;-1,475984E-09
-8,3;-1,465358E-09
-8,25;-1,454371E-09
-8,2;-1,443268E-09
-8,15;-1,433588E-09
-8,1;-1,424926E-09
-8,05;-1,415892E-09
-8;-1,4028E-09
-7,95;-1,392059E-09
-7,9;-1,382921E-09
-7,85;-1,372674E-09
-7,8;-1,362375E-09
-7,75;-1,351095E-09
-7,7;-1,341489E-09
-7,65;-1,331263E-09
-7,6;-1,31986E-09
-7,55;-1,309888E-09
-7,5;-1,301409E-09
-7,45;-1,291776E-09
-7,4;-1,279611E-09
-7,35;-1,26632E-09
-7,3;-1,258132E-09
-7,25;-1,24718E-09
-7,2;-1,237582E-09
-7,15;-1,22872E-09
-7,1;-1,218228E-09
-7,05;-1,207057E-09
-7;-1,195119E-09
-6,95;-1,184789E-09
-6,9;-1,176676E-09
-6,85;-1,168899E-09
-6,8;-1,157285E-09
-6,75;-1,145608E-09
-6,7;-1,135658E-09
-6,65;-1,12485E-09
-6,6;-1,114988E-09
-6,55;-1,104056E-09
-6,5;-1,096129E-09
-6,45;-1,083153E-09
-6,4;-1,070782E-09
-6,35;-1,058276E-09
-6,3;-1,046877E-09
-6,25;-1,035547E-09
-6,2;-1,026747E-09
-6,15;-1,02169E-09
-6,1;-1,010854E-09
-6,05;-9,974431E-10
-6;-9,868939E-10
-5,95;-9,825181E-10
-5,9;-9,753428E-10
-5,85;-9,626051E-10
-5,8;-9,486746E-10
-5,75;-9,386689E-10
-5,7;-9,296491E-10
-5,65;-9,229089E-10
-5,6;-9,128259E-10
-5,55;-9,009569E-10
-5,5;-8,90952E-10
-5,45;-8,796988E-10
-5,4;-8,698364E-10
-5,35;-8,630769E-10
-5,3;-8,535209E-10
-5,25;-8,433133E-10
-5,2;-8,309243E-10
-5,15;-8,206588E-10
-5,1;-8,1335E-10
-5,05;-8,028637E-10
-5;-7,92809E-10
-4,95;-7,853432E-10
-4,9;-7,747827E-10
-4,85;-7,627742E-10
-4,8;-7,561174E-10
-4,75;-7,482862E-10
-4,7;-7,386053E-10
-4,65;-7,290324E-10
-4,6;-7,158805E-10
-4,55;-7,064257E-10
-4,5;-6,909671E-10
-4,45;-6,841741E-10
-4,4;-6,879646E-10
-4,35;-6,746619E-10
-4,3;-6,610645E-10
-4,25;-6,472489E-10
-4,2;-6,354674E-10
-4,15;-6,264946E-10
-4,1;-6,169436E-10
-4,05;-6,074399E-10
-4;-5,951891E-10
-3,95;-5,824589E-10
-3,9;-5,746422E-10
-3,85;-5,662472E-10
-3,8;-5,5533E-10
-3,75;-5,460733E-10
-3,7;-5,352761E-10
-3,65;-5,255838E-10
-3,6;-5,136575E-10
-3,55;-5,054429E-10
-3,5;-4,963788E-10
-3,45;-4,872512E-10
-3,4;-4,74794E-10
-3,35;-4,651239E-10
-3,3;-4,536888E-10
-3,25;-4,437465E-10
-3,2;-4,346308E-10
-3,15;-4,256389E-10
-3,1;-4,162402E-10
-3,05;-4,060595E-10
-3;-3,932624E-10
-2,95;-3,823118E-10
-2,9;-3,731407E-10
-2,85;-3,640895E-10
-2,8;-3,514012E-10
-2,75;-3,418379E-10
-2,7;-3,310467E-10
-2,65;-3,187033E-10
-2,6;-3,102539E-10
-2,55;-3,014942E-10
-2,5;-2,913124E-10
-2,45;-2,794187E-10
-2,4;-2,672939E-10
-2,35;-2,547525E-10
-2,3;-2,451192E-10
-2,25;-2,356007E-10
-2,2;-2,243733E-10
-2,15;-2,123004E-10
-2,1;-2,008182E-10
-2,05;-1,90389E-10
-2;-1,815885E-10
-1,95;-1,714856E-10
-1,9;-1,595735E-10
-1,85;-1,484893E-10
-1,8;-1,348543E-10
-1,75;-1,23104E-10
-1,7;-1,135064E-10
-1,65;-1,042292E-10
-1,6;-9,286919E-11
-1,55;-8,093731E-11
-1,5;-7,003975E-11
-1,45;-5,962661E-11
-1,4;-4,931232E-11
-1,35;-4,000525E-11
-1,3;-3,094288E-11
-1,25;-2,017876E-11
-1,2;-8,381475E-12
-1,15;7,141812E-12
-1,1;2,321008E-11
-1,05;3,098838E-11
-1;4,252236E-11
-0,95;5,398223E-11
-0,9;6,720563E-11
-0,85;7,797587E-11
-0,8;8,856815E-11
-0,75;1,02522E-10
-0,7;1,162483E-10
-0,65;1,340233E-10
-0,6;1,625783E-10
-0,55;2,025932E-10
-0,5;2,645107E-10
-0,45;3,583253E-10
-0,4;4,919171E-10
-0,35;6,847757E-10
-0,3;9,648522E-10
-0,25;1,342069E-09
-0,2;1,786282E-09
-0,15;2,471654E-09
-0,1;2,951201E-09
-0,05;3,628251E-09
0;4,596835E-09
0,05;5,27371E-09
0,1;6,119007E-09
0,15;6,974437E-09
0,2;7,860837E-09
0,25;8,79843E-09
0,3;9,71682E-09
0,35;1,061345E-08
