Tensao [V];Corrente [A]
-10;-2,19019E-09
-9,95;-2,235187E-09
-9,9;-2,213574E-09
-9,85;-2,192076E-09
-9,8;-2,171632E-09
-9,75;-2,172962E-09
-9,7;-2,150156E-09
-9,65;-2,127963E-09
-9,6;-2,111767E-09
-9,55;-2,093485E-09
-9,5;-2,078972E-09
-9,45;-2,067276E-09
-9,4;-2,048801E-09
-9,35;-2,032727E-09
-9,3;-2,018925E-09
-9,25;-2,007536E-09
-9,2;-2,008633E-09
-9,15;-1,987075E-09
-9,1;-1,970719E-09
-9,05;-1,955835E-09
-9;-1,945885E-09
-8,95;-1,932276E-09
-8,9;-1,917024E-09
-8,85;-1,901022E-09
-8,8;-1,887007E-09
-8,75;-1,877585E-09
-8,7;-1,863136E-09
-8,65;-1,851417E-09
-8,6;-1,84093E-09
-8,55;-1,823004E-09
-8,5;-1,807963E-09
-8,45;-1,796739E-09
-8,4;-1,785589E-09
-8,35;-1,767604E-09
-8,3;-1,756576E-09
-8,25;-1,7438E-09
-8,2;-1,730383E-09
-8,15;-1,719815E-09
-8,1;-1,70839E-09
-8,05;-1,698336E-09
-8;-1,679887E-09
-7,95;-1,657065E-09
-7,9;-1,647228E-09
-7,85;-1,639536E-09
-7,8;-1,632098E-09
-7,75;-1,616498E-09
-7,7;-1,597001E-09
-7,65;-1,582683E-09
-7,6;-1,565442E-09
-7,55;-1,567606E-09
-7,5;-1,55941E-09
-7,45;-1,551548E-09
-7,4;-1,544734E-09
-7,35;-1,528808E-09
-7,3;-1,515893E-09
-7,25;-1,504086E-09
-7,2;-1,493951E-09
-7,15;-1,48186E-09
-7,1;-1,47124E-09
-7,05;-1,458593E-09
-7;-1,441627E-09
-6,95;-1,428107E-09
-6,9;-1,415393E-09
-6,85;-1,404443E-09
-6,8;-1,393825E-09
-6,75;-1,382817E-09
-6,7;-1,371656E-09
-6,65;-1,360126E-09
-6,6;-1,349612E-09
-6,55;-1,334614E-09
-6,5;-1,31891E-09
-6,45;-1,308484E-09
-6,4;-1,297954E-09
-6,35;-1,288279E-09
-6,3;-1,276914E-09
-6,25;-1,264518E-09
-6,2;-1,246397E-09
-6,15;-1,23367E-09
-6,1;-1,22435E-09
-6,05;-1,212573E-09
-6;-1,201352E-09
-5,95;-1,18803E-09
-5,9;-1,174345E-09
-5,85;-1,164972E-09
-5,8;-1,156192E-09
-5,75;-1,142562E-09
-5,7;-1,128864E-09
-5,65;-1,115743E-09
-5,6;-1,106986E-09
-5,55;-1,096091E-09
-5,5;-1,085351E-09
-5,45;-1,073906E-09
-5,4;-1,059053E-09
-5,35;-1,046251E-09
-5,3;-1,034737E-09
-5,25;-1,025156E-09
-5,2;-1,014081E-09
-5,15;-9,991825E-10
-5,1;-9,850136E-10
-5,05;-9,741418E-10
-5;-9,632537E-10
-4,95;-9,528438E-10
-4,9;-9,40264E-10
-4,85;-9,262024E-10
-4,8;-9,126581E-10
-4,75;-9,009482E-10
-4,7;-8,917342E-10
-4,65;-8,831902E-10
-4,6;-8,701015E-10
-4,55;-8,541393E-10
-4,5;-8,407458E-10
-4,45;-8,308623E-10
-4,4;-8,210779E-10
-4,35;-8,085914E-10
-4,3;-7,945932E-10
-4,25;-7,825423E-10
-4,2;-7,717932E-10
-4,15;-7,604959E-10
-4,1;-7,490029E-10
-4,05;-7,370826E-10
-4;-7,234763E-10
-3,95;-7,093764E-10
-3,9;-6,979274E-10
-3,85;-6,898579E-10
-3,8;-6,762836E-10
-3,75;-6,638005E-10
-3,7;-6,472811E-10
-3,65;-6,367852E-10
-3,6;-6,259609E-10
-3,55;-6,155942E-10
-3,5;-6,021245E-10
-3,45;-5,891294E-10
-3,4;-5,763613E-10
-3,35;-5,630448E-10
-3,3;-5,527004E-10
-3,25;-5,43309E-10
-3,2;-5,283087E-10
-3,15;-5,132288E-10
-3,1;-4,991745E-10
-3,05;-4,899582E-10
-3;-4,789206E-10
-2,95;-4,672661E-10
-2,9;-4,529817E-10
-2,85;-4,384487E-10
-2,8;-4,260284E-10
-2,75;-4,131628E-10
-2,7;-4,040568E-10
-2,65;-3,898157E-10
-2,6;-3,732511E-10
-2,55;-3,595031E-10
-2,5;-3,460442E-10
-2,45;-3,367751E-10
-2,4;-3,251689E-10
-2,35;-3,109056E-10
-2,3;-2,945819E-10
-2,25;-2,809229E-10
-2,2;-2,686642E-10
-2,15;-2,582592E-10
-2,1;-2,444075E-10
-2,05;-2,301158E-10
-2;-2,143557E-10
-1,95;-1,989455E-10
-1,9;-1,868463E-10
-1,85;-1,756935E-10
-1,8;-1,632828E-10
-1,75;-1,452672E-10
-1,7;-1,285284E-10
-1,65;-1,148484E-10
-1,6;-9,977186E-11
-1,55;-8,131265E-11
-1,5;-5,838575E-11
-1,45;-3,266079E-11
-1,4;-5,497265E-12
-1,35;2,469161E-11
-1,3;5,678001E-11
-1,25;9,463871E-11
-1,2;1,440938E-10
-1,15;1,977174E-10
-1,1;2,604136E-10
-1,05;3,213756E-10
-1;3,942632E-10
-0,95;4,732298E-10
-0,9;5,645797E-10
-0,85;6,570782E-10
-0,8;7,627941E-10
-0,75;8,70584E-10
-0,7;9,942628E-10
-0,65;1,12201E-09
-0,6;1,272915E-09
-0,55;1,427257E-09
-0,5;1,600661E-09
-0,45;1,783111E-09
-0,4;1,992199E-09
-0,35;2,219309E-09
-0,3;2,426117E-09
-0,25;2,668245E-09
-0,2;2,939256E-09
-0,15;3,221937E-09
-0,1;3,536758E-09
-0,05;3,845352E-09
0;4,273048E-09
0,05;4,561775E-09
0,1;4,923158E-09
0,15;5,333497E-09
0,2;5,733286E-09
0,25;6,168092E-09
0,3;6,590033E-09
0,35;7,031125E-09
0,4;7,453052E-09
0,45;7,90325E-09
0,5;8,346853E-09
0,55;8,783929E-09
0,6;9,193182E-09
0,65;9,650129E-09
0,7;1,007923E-08
0,75;1,051744E-08
0,8;1,094014E-08
0,85;1,13402E-08
0,9;1,174395E-08
0,95;1,213936E-08
1;1,251546E-08
1,05;1,291362E-08
1,1;1,326943E-08
1,15;1,371284E-08
1,2;1,421438E-08
1,25;1,460202E-08
1,3;1,492858E-08
1,35;1,524328E-08
1,4;1,561051E-08
1,45;1,591386E-08
1,5;1,623044E-08
1,55;1,651848E-08
1,6;1,681567E-08
1,65;1,71063E-08
1,7;1,73634E-08
1,75;1,762458E-08
1,8;1,7889E-08
1,85;1,8135E-08
1,9;1,838416E-08
1,95;1,864429E-08
2;1,893267E-08
2,05;1,918056E-08
2,1;1,944254E-08
2,15;1,968661E-08
2,2;1,992601E-08
2,25;2,015887E-08
2,3;2,036214E-08
2,35;2,061063E-08
2,4;2,083697E-08
2,45;2,123723E-08
2,5;2,141818E-08
2,55;2,160566E-08
2,6;2,177958E-08
2,65;2,190702E-08
2,7;2,21598E-08
2,75;2,235129E-08
2,8;2,250349E-08
2,85;2,270326E-08
2,9;2,295906E-08
2,95;2,307043E-08
3;2,3304E-08
3,05;2,345744E-08
3,1;2,368423E-08
3,15;2,386204E-08
3,2;2,40293E-08
3,25;2,429851E-08
3,3;2,440175E-08
3,35;2,453836E-08
3,4;2,471454E-08
3,45;2,487097E-08
3,5;2,494068E-08
3,55;2,516483E-08
3,6;2,529027E-08
3,65;2,538581E-08
3,7;2,570527E-08
3,75;2,589101E-08
3,8;2,592738E-08
3,85;2,619513E-08
3,9;2,627826E-08
3,95;2,648533E-08
4;2,657563E-08
4,05;2,662547E-08
4,1;2,68702E-08
4,15;2,700002E-08
4,2;2,711244E-08
4,25;2,73436E-08
4,3;2,734724E-08
4,35;2,750195E-08
4,4;2,767084E-08
4,45;2,785528E-08
4,5;2,799269E-08
4,55;2,830871E-08
4,6;2,841057E-08
4,65;2,85069E-08
4,7;2,868997E-08
4,75;2,902148E-08
4,8;2,905323E-08
4,85;2,915861E-08
4,9;2,929583E-08
4,95;2,935762E-08
5;2,945696E-08
5,05;2,951106E-08
5,1;2,964443E-08
5,15;2,988299E-08
5,2;2,992042E-08
5,25;3,018087E-08
5,3;3,026803E-08
5,35;3,036547E-08
5,4;3,045687E-08
5,45;3,056361E-08
5,5;3,06898E-08
5,55;3,0761E-08
5,6;3,09658E-08
5,65;3,100548E-08
5,7;3,124296E-08
5,75;3,11637E-08
5,8;3,142478E-08
5,85;3,14828E-08
5,9;3,164515E-08
5,95;3,175917E-08
6;3,186927E-08
6,05;3,198143E-08
6,1;3,208087E-08
6,15;3,220181E-08
6,2;3,232524E-08
6,25;3,24439E-08
6,3;3,253668E-08
6,35;3,263136E-08
6,4;3,263314E-08
6,45;3,274953E-08
6,5;3,280541E-08
6,55;3,293625E-08
6,6;3,29816E-08
6,65;3,308557E-08
6,7;3,312663E-08
6,75;3,327679E-08
6,8;3,342486E-08
6,85;3,345249E-08
6,9;3,363316E-08
6,95;3,376025E-08
7;3,381927E-08
7,05;3,396442E-08
7,1;3,394081E-08
7,15;3,414814E-08
7,2;3,412501E-08
7,25;3,419022E-08
7,3;3,419373E-08
7,35;3,434339E-08
7,4;3,446748E-08
7,45;3,44803E-08
7,5;3,467679E-08
7,55;3,476079E-08
7,6;3,493924E-08
7,65;3,503342E-08
7,7;3,508405E-08
7,75;3,516124E-08
7,8;3,519592E-08
7,85;3,519929E-08
7,9;3,534609E-08
7,95;3,544692E-08
8;3,557476E-08
8,05;3,563125E-08
8,1;3,566151E-08
8,15;3,568924E-08
8,2;3,582775E-08
8,25;3,595184E-08
8,3;3,602115E-08
8,35;3,611722E-08
8,4;3,621943E-08
8,45;3,620261E-08
8,5;3,624956E-08
8,55;3,62969E-08
8,6;3,636723E-08
8,65;3,665291E-08
8,7;3,662187E-08
8,75;3,675084E-08
8,8;3,686424E-08
8,85;3,683596E-08
8,9;3,690579E-08
8,95;3,687678E-08
9;3,698239E-08
9,05;3,71273E-08
9,1;3,711277E-08
9,15;3,733924E-08
9,2;3,738533E-08
9,25;3,731653E-08
9,3;3,744322E-08
9,35;3,739411E-08
9,4;3,75845E-08
9,45;3,756492E-08
9,5;3,763953E-08
9,55;3,772778E-08
9,6;3,776104E-08
9,65;3,800039E-08
9,7;3,790593E-08
9,75;3,80466E-08
9,8;3,816477E-08
9,85;3,819756E-08
9,9;3,814855E-08
9,95;3,826902E-08
10;3,826321E-08
