Tensao [V];Corrente [A]
-10;-2,00164E-09
-9,95;-2,045542E-09
-9,9;-2,025842E-09
-9,85;-2,005706E-09
-9,8;-1,998798E-09
-9,75;-1,976237E-09
-9,7;-1,957202E-09
-9,65;-1,941419E-09
-9,6;-1,928681E-09
-9,55;-1,917422E-09
-9,5;-1,904711E-09
-9,45;-1,890178E-09
-9,4;-1,876027E-09
-9,35;-1,862841E-09
-9,3;-1,852831E-09
-9,25;-1,843457E-09
-9,2;-1,830255E-09
-9,15;-1,814643E-09
-9,1;-1,803145E-09
-9,05;-1,793622E-09
-9;-1,782468E-09
-8,95;-1,770855E-09
-8,9;-1,758451E-09
-8,85;-1,746149E-09
-8,8;-1,734415E-09
-8,75;-1,723982E-09
-8,7;-1,71419E-09
-8,65;-1,700979E-09
-8,6;-1,686672E-09
-8,55;-1,676157E-09
-8,5;-1,665526E-09
-8,45;-1,656045E-09
-8,4;-1,643271E-09
-8,35;-1,628534E-09
-8,3;-1,615029E-09
-8,25;-1,605764E-09
-8,2;-1,596353E-09
-8,15;-1,584848E-09
-8,1;-1,572406E-09
-8,05;-1,561994E-09
-8;-1,549588E-09
-7,95;-1,539317E-09
-7,9;-1,530959E-09
-7,85;-1,520907E-09
-7,8;-1,506598E-09
-7,75;-1,492821E-09
-7,7;-1,483439E-09
-7,65;-1,474737E-09
-7,6;-1,464863E-09
-7,55;-1,452069E-09
-7,5;-1,438753E-09
-7,45;-1,427586E-09
-7,4;-1,417901E-09
-7,35;-1,408554E-09
-7,3;-1,397795E-09
-7,25;-1,385081E-09
-7,2;-1,371882E-09
-7,15;-1,360887E-09
-7,1;-1,352677E-09
-7,05;-1,343427E-09
-7;-1,329106E-09
-6,95;-1,313588E-09
-6,9;-1,303653E-09
-6,85;-1,295674E-09
-6,8;-1,285225E-09
-6,75;-1,273163E-09
-6,7;-1,260825E-09
-6,65;-1,249135E-09
-6,6;-1,238974E-09
-6,55;-1,229334E-09
-6,5;-1,219796E-09
-6,45;-1,207305E-09
-6,4;-1,194681E-09
-6,35;-1,184012E-09
-6,3;-1,175217E-09
-6,25;-1,164996E-09
-6,2;-1,152492E-09
-6,15;-1,138272E-09
-6,1;-1,128263E-09
-6,05;-1,119891E-09
-6;-1,10973E-09
-5,95;-1,098788E-09
-5,9;-1,088731E-09
-5,85;-1,076228E-09
-5,8;-1,065274E-09
-5,75;-1,055894E-09
-5,7;-1,045653E-09
-5,65;-1,035584E-09
-5,6;-1,022296E-09
-5,55;-1,009995E-09
-5,5;-1,00021E-09
-5,45;-9,912908E-10
-5,4;-9,809329E-10
-5,35;-9,668838E-10
-5,3;-9,551987E-10
-5,25;-9,451854E-10
-5,2;-9,348456E-10
-5,15;-9,241543E-10
-5,1;-9,134564E-10
-5,05;-9,021622E-10
-5;-8,905744E-10
-4,95;-8,800895E-10
-4,9;-8,722085E-10
-4,85;-8,625985E-10
-4,8;-8,48715E-10
-4,75;-8,355988E-10
-4,7;-8,281452E-10
-4,65;-8,188641E-10
-4,6;-8,080887E-10
-4,55;-7,95184E-10
-4,5;-7,83572E-10
-4,45;-7,738432E-10
-4,4;-7,641937E-10
-4,35;-7,53965E-10
-4,3;-7,4388E-10
-4,25;-7,294564E-10
-4,2;-7,200553E-10
-4,15;-7,079289E-10
-4,1;-7,001492E-10
-4,05;-6,894734E-10
-4;-6,757178E-10
-3,95;-6,63213E-10
-3,9;-6,542241E-10
-3,85;-6,460086E-10
-3,8;-6,356489E-10
-3,75;-6,226133E-10
-3,7;-6,090546E-10
-3,65;-5,996272E-10
-3,6;-5,90147E-10
-3,55;-5,810029E-10
-3,5;-5,683876E-10
-3,45;-5,556746E-10
-3,4;-5,4405E-10
-3,35;-5,341565E-10
-3,3;-5,259101E-10
-3,25;-5,162109E-10
-3,2;-5,017802E-10
-3,15;-4,890593E-10
-3,1;-4,802698E-10
-3,05;-4,729685E-10
-3;-4,612241E-10
-2,95;-4,478756E-10
-2,9;-4,344631E-10
-2,85;-4,247307E-10
-2,8;-4,155842E-10
-2,75;-4,056229E-10
-2,7;-3,930496E-10
-2,65;-3,790808E-10
-2,6;-3,650923E-10
-2,55;-3,550149E-10
-2,5;-3,47276E-10
-2,45;-3,368159E-10
-2,4;-3,212282E-10
-2,35;-3,056834E-10
-2,3;-2,96532E-10
-2,25;-2,860975E-10
-2,2;-2,746894E-10
-2,15;-2,586506E-10
-2,1;-2,447277E-10
-2,05;-2,329003E-10
-2;-2,21203E-10
-1,95;-2,098516E-10
-1,9;-1,973436E-10
-1,85;-1,832869E-10
-1,8;-1,689314E-10
-1,75;-1,555964E-10
-1,7;-1,454315E-10
-1,65;-1,350566E-10
-1,6;-1,195973E-10
-1,55;-1,026117E-10
-1,5;-8,883686E-11
-1,45;-7,851009E-11
-1,4;-6,661618E-11
-1,35;-4,963071E-11
-1,3;-3,311102E-11
-1,25;-1,627006E-11
-1,2;-2,324685E-12
-1,15;1,434817E-11
-1,1;3,439733E-11
-1,05;6,274521E-11
-1;9,775556E-11
-0,95;1,415825E-10
-0,9;1,956916E-10
-0,85;2,678603E-10
-0,8;3,6098E-10
-0,75;4,830376E-10
-0,7;6,219198E-10
-0,65;7,942015E-10
-0,6;9,899883E-10
-0,55;1,22827E-09
-0,5;1,498579E-09
-0,45;1,824959E-09
-0,4;2,245836E-09
-0,35;2,575758E-09
-0,3;3,009408E-09
-0,25;3,483122E-09
-0,2;3,988658E-09
-0,15;4,527278E-09
-0,1;5,101651E-09
-0,05;5,71921E-09
0;6,517685E-09
0,05;7,092078E-09
0,1;7,842321E-09
0,15;8,590361E-09
0,2;9,38966E-09
0,25;1,018668E-08
0,3;1,10275E-08
0,35;1,185252E-08
0,4;1,268434E-08
0,45;1,350399E-08
0,5;1,434786E-08
0,55;1,514742E-08
0,6;1,599277E-08
0,65;1,679949E-08
0,7;1,760701E-08
0,75;1,835723E-08
0,8;1,914966E-08
0,85;1,989474E-08
0,9;2,065697E-08
0,95;2,172276E-08
1;2,233278E-08
1,05;2,294479E-08
1,1;2,351914E-08
1,15;2,423863E-08
1,2;2,475883E-08
1,25;2,531725E-08
1,3;2,589311E-08
1,35;2,64686E-08
1,4;2,708284E-08
1,45;2,755461E-08
1,5;2,805689E-08
1,55;2,85638E-08
