Tensao [V];Corrente [A]
-10;-1,427053E-09
-9,95;-1,41606E-09
-9,9;-1,406943E-09
-9,85;-1,398494E-09
-9,8;-1,389378E-09
-9,75;-1,38097E-09
-9,7;-1,373824E-09
-9,65;-1,366241E-09
-9,6;-1,357516E-09
-9,55;-1,348773E-09
-9,5;-1,340807E-09
-9,45;-1,33211E-09
-9,4;-1,323748E-09
-9,35;-1,314983E-09
-9,3;-1,307954E-09
-9,25;-1,299193E-09
-9,2;-1,291088E-09
-9,15;-1,282681E-09
-9,1;-1,274767E-09
-9,05;-1,267127E-09
-9;-1,258648E-09
-8,95;-1,249634E-09
-8,9;-1,241846E-09
-8,85;-1,233734E-09
-8,8;-1,225017E-09
-8,75;-1,217604E-09
-8,7;-1,210788E-09
-8,65;-1,203233E-09
-8,6;-1,194481E-09
-8,55;-1,185464E-09
-8,5;-1,177997E-09
-8,45;-1,169755E-09
-8,4;-1,161793E-09
-8,35;-1,154108E-09
-8,3;-1,147248E-09
-8,25;-1,138888E-09
-8,2;-1,13067E-09
-8,15;-1,121612E-09
-8,1;-1,114595E-09
-8,05;-1,107616E-09
-8;-1,09902E-09
-7,95;-1,091153E-09
-7,9;-1,0831E-09
-7,85;-1,074635E-09
-7,8;-1,066253E-09
-7,75;-1,058886E-09
-7,7;-1,052206E-09
-7,65;-1,044689E-09
-7,6;-1,035466E-09
-7,55;-1,027797E-09
-7,5;-1,021014E-09
-7,45;-1,012989E-09
-7,4;-1,005227E-09
-7,35;-9,9769E-10
-7,3;-9,895709E-10
-7,25;-9,822355E-10
-7,2;-9,742455E-10
-7,15;-9,658531E-10
-7,1;-9,576973E-10
-7,05;-9,507163E-10
-7;-9,435973E-10
-6,95;-9,351656E-10
-6,9;-9,275855E-10
-6,85;-9,201563E-10
-6,8;-9,118879E-10
-6,75;-9,033437E-10
-6,7;-8,968501E-10
-6,65;-8,899994E-10
-6,6;-8,819942E-10
-6,55;-8,732856E-10
-6,5;-8,655698E-10
-6,45;-8,582313E-10
-6,4;-8,503292E-10
-6,35;-8,423657E-10
-6,3;-8,358341E-10
-6,25;-8,293476E-10
-6,2;-8,215629E-10
-6,15;-8,13108E-10
-6,1;-8,048858E-10
-6,05;-7,976411E-10
-6;-7,904229E-10
-5,95;-7,830301E-10
-5,9;-7,751977E-10
-5,85;-7,686066E-10
-5,8;-7,605876E-10
-5,75;-7,518348E-10
-5,7;-7,444342E-10
-5,65;-7,378636E-10
-5,6;-7,302747E-10
-5,55;-7,217029E-10
-5,5;-7,146734E-10
-5,45;-7,076948E-10
-5,4;-6,999507E-10
-5,35;-6,915279E-10
-5,3;-6,845355E-10
-5,25;-6,772996E-10
-5,2;-6,699864E-10
-5,15;-6,612219E-10
-5,1;-6,538041E-10
-5,05;-6,464623E-10
-5;-6,39689E-10
-4,95;-6,314485E-10
-4,9;-6,239099E-10
-4,85;-6,165011E-10
-4,8;-6,088267E-10
-4,75;-6,006925E-10
-4,7;-5,930023E-10
-4,65;-5,868542E-10
-4,6;-5,805424E-10
-4,55;-5,709724E-10
-4,5;-5,632633E-10
-4,45;-5,563513E-10
-4,4;-5,490577E-10
-4,35;-5,405532E-10
-4,3;-5,328908E-10
-4,25;-5,263605E-10
-4,2;-5,187147E-10
-4,15;-5,096503E-10
-4,1;-5,021424E-10
-4,05;-4,950906E-10
-4;-4,873339E-10
-3,95;-4,792639E-10
-3,9;-4,716932E-10
-3,85;-4,648639E-10
-3,8;-4,575195E-10
-3,75;-4,48303E-10
-3,7;-4,400514E-10
-3,65;-4,333446E-10
-3,6;-4,262462E-10
-3,55;-4,176545E-10
-3,5;-4,102582E-10
-3,45;-4,02973E-10
-3,4;-3,951061E-10
-3,35;-3,866787E-10
-3,3;-3,784877E-10
-3,25;-3,719935E-10
-3,2;-3,638815E-10
-3,15;-3,558969E-10
-3,1;-3,477219E-10
-3,05;-3,398042E-10
-3;-3,314622E-10
-2,95;-3,220368E-10
-2,9;-3,137951E-10
-2,85;-3,065989E-10
-2,8;-2,992002E-10
-2,75;-2,909004E-10
-2,7;-2,826068E-10
-2,65;-2,74783E-10
-2,6;-2,6643E-10
-2,55;-2,572788E-10
-2,5;-2,48434E-10
-2,45;-2,419213E-10
-2,4;-2,336031E-10
-2,35;-2,238709E-10
-2,3;-2,146951E-10
-2,25;-2,065954E-10
-2,2;-1,982894E-10
-2,15;-1,89708E-10
-2,1;-1,802168E-10
-2,05;-1,711188E-10
-2;-1,62835E-10
-1,95;-1,525469E-10
-1,9;-1,43544E-10
-1,85;-1,363713E-10
-1,8;-1,285065E-10
-1,75;-1,191613E-10
-1,7;-1,101806E-10
-1,65;-1,021379E-10
-1,6;-9,413844E-11
-1,55;-8,469428E-11
-1,5;-7,597931E-11
-1,45;-6,861019E-11
-1,4;-5,968881E-11
-1,35;-5,0414E-11
-1,3;-4,055712E-11
-1,25;-3,188288E-11
-1,2;-2,369931E-11
-1,15;-1,397096E-11
-1,1;-4,844448E-12
-1,05;3,971855E-12
-1;1,261637E-11
-0,95;2,292303E-11
-0,9;3,273909E-11
-0,85;4,260956E-11
-0,8;5,150122E-11
-0,75;6,093912E-11
-0,7;7,028677E-11
-0,65;8,07257E-11
-0,6;9,062334E-11
-0,55;1,022745E-10
-0,5;1,137775E-10
-0,45;1,252285E-10
-0,4;1,362508E-10
-0,35;1,483742E-10
-0,3;1,614132E-10
-0,25;1,748031E-10
-0,2;1,890805E-10
-0,15;2,049682E-10
-0,1;2,235437E-10
-0,05;2,423095E-10
0;2,676598E-10
0,05;2,835596E-10
