Tensao [V];Corrente [A]
-10;-2,816903E-10
-9,95;-2,659228E-10
-9,9;-2,599634E-10
-9,85;-2,51028E-10
-9,8;-2,451601E-10
-9,75;-2,424968E-10
-9,7;-2,411633E-10
-9,65;-2,355842E-10
-9,6;-2,320549E-10
-9,55;-2,313515E-10
-9,5;-2,276585E-10
-9,45;-2,215731E-10
-9,4;-2,207525E-10
-9,35;-2,217068E-10
-9,3;-2,162737E-10
-9,25;-2,139243E-10
-9,2;-2,14514E-10
-9,15;-2,113611E-10
-9,1;-2,082479E-10
-9,05;-2,02537E-10
-9;-2,016384E-10
-8,95;-2,017459E-10
-8,9;-2,020154E-10
-8,85;-1,98409E-10
-8,8;-1,962635E-10
-8,75;-1,935779E-10
-8,7;-1,94553E-10
-8,65;-1,898516E-10
-8,6;-1,874243E-10
-8,55;-1,864667E-10
-8,5;-1,846672E-10
-8,45;-1,838589E-10
-8,4;-1,802414E-10
-8,35;-1,800808E-10
-8,3;-1,827243E-10
-8,25;-1,723144E-10
-8,2;-1,750001E-10
-8,15;-1,685648E-10
-8,1;-1,72935E-10
-8,05;-1,694856E-10
-8;-1,681321E-10
-7,95;-1,673289E-10
-7,9;-1,653169E-10
-7,85;-1,654181E-10
-7,8;-1,622879E-10
-7,75;-1,610346E-10
-7,7;-1,614734E-10
-7,65;-1,572589E-10
-7,6;-1,546018E-10
-7,55;-1,504455E-10
-7,5;-1,551122E-10
-7,45;-1,541691E-10
-7,4;-1,491626E-10
-7,35;-1,457416E-10
-7,3;-1,462918E-10
-7,25;-1,466773E-10
-7,2;-1,435987E-10
-7,15;-1,407921E-10
-7,1;-1,406931E-10
-7,05;-1,41017E-10
-7;-1,387429E-10
-6,95;-1,371969E-10
-6,9;-1,344668E-10
-6,85;-1,330936E-10
-6,8;-1,307419E-10
-6,75;-1,291215E-10
-6,7;-1,294157E-10
-6,65;-1,307629E-10
-6,6;-1,292057E-10
-6,55;-1,252087E-10
-6,5;-1,223464E-10
-6,45;-1,235255E-10
-6,4;-1,174251E-10
-6,35;-1,171372E-10
-6,3;-1,172447E-10
-6,25;-1,193828E-10
-6,2;-1,169431E-10
-6,15;-1,130959E-10
-6,1;-1,081448E-10
-6,05;-1,127325E-10
-6;-1,091509E-10
-5,95;-1,087084E-10
-5,9;-1,052764E-10
