Tensao [V];Corrente [A]
-10;-2,525458E-10
-9,95;-2,381381E-10
-9,9;-2,308983E-10
-9,85;-2,263071E-10
-9,8;-2,211966E-10
-9,75;-2,178684E-10
-9,7;-2,144241E-10
-9,65;-2,103999E-10
-9,6;-2,063894E-10
-9,55;-2,053144E-10
-9,5;-2,004264E-10
-9,45;-2,029203E-10
-9,4;-2,003708E-10
-9,35;-1,972513E-10
-9,3;-1,944474E-10
-9,25;-1,931297E-10
-9,2;-1,897459E-10
-9,15;-1,888833E-10
-9,1;-1,866711E-10
-9,05;-1,844601E-10
-9;-1,826914E-10
-8,95;-1,810008E-10
-8,9;-1,788789E-10
-8,85;-1,769743E-10
-8,8;-1,759633E-10
-8,75;-1,73635E-10
-8,7;-1,707963E-10
-8,65;-1,698322E-10
-8,6;-1,685011E-10
-8,55;-1,659614E-10
-8,5;-1,654844E-10
-8,45;-1,632623E-10
-8,4;-1,619955E-10
-8,35;-1,605422E-10
-8,3;-1,587315E-10
-8,25;-1,572844E-10
-8,2;-1,571113E-10
-8,15;-1,550509E-10
-8,1;-1,537374E-10
-8,05;-1,504488E-10
-8;-1,483798E-10
-7,95;-1,457189E-10
-7,9;-1,450775E-10
-7,85;-1,435958E-10
-7,8;-1,419729E-10
-7,75;-1,413539E-10
-7,7;-1,389253E-10
-7,65;-1,376177E-10
-7,6;-1,365969E-10
-7,55;-1,343982E-10
-7,5;-1,323924E-10
-7,45;-1,319067E-10
-7,4;-1,285601E-10
-7,35;-1,282078E-10
-7,3;-1,274464E-10
-7,25;-1,261018E-10
-7,2;-1,24547E-10
-7,15;-1,22346E-10
-7,1;-1,218615E-10
-7,05;-1,182639E-10
-7;-1,183948E-10
-6,95;-1,165708E-10
-6,9;-1,149912E-10
-6,85;-1,151741E-10
-6,8;-1,140532E-10
-6,75;-1,125516E-10
-6,7;-1,097722E-10
-6,65;-1,082595E-10
-6,6;-1,077787E-10
-6,55;-1,063463E-10
-6,5;-1,051215E-10
-6,45;-1,039869E-10
-6,4;-1,028845E-10
-6,35;-1,010209E-10
-6,3;-9,936357E-11
-6,25;-1,012038E-10
-6,2;-1,104036E-10
-6,15;-1,037792E-10
-6,1;-1,005932E-10
-6,05;-9,71872E-11
-6;-9,412336E-11
-5,95;-9,293327E-11
-5,9;-8,999678E-11
-5,85;-8,776603E-11
-5,8;-8,834194E-11
-5,75;-8,474189E-11
